"Позначка часу","1. Ваш вік:","2. Ваша стать:","3. Сфера вашої діяльності:","4. Чи цікавились Ви діяльністю громадських організацій?","5. На скільки добре Ви обізнані в діяльності громадських організацій?","6. Чи приймали Ви участь в громадській організації?","7. Якщо на питання 6 Ви відповіли ТАК тоді: якого типу це була організація?","8. Якщо на питання 6 Ви відповіли НІ тоді вкажіть причини:","9. На даний момент, чи є Ви членом громадської організації?","10. Чи приймали Ви участь в одноразовій акції?","11. Чи є хтось з Ваших знайомих членом громадської організацій?","12. В організації якого типу Ви б захотіли прийняти участь? (якщо б у Вас був
час і можливість)","13. На Вашу думку, чи є в Україні потреба в створенні значної кількості
громадських організацій?","14. На вашу думку, чи варто проводити більш маштабні акції агітації, для
залучення більшої кількості людей?"
"2022/09/13 10:45:30 дп GMT+3","16-23 років","Жіноча","Студент","Так, інколи","Не сильно, щось чув/ла, але не цікавився/лася.","Ні","","Не мав/ла змоги","Ні","Так","Ні, жодного","Молодіжна організація","Так, оскільки за допомогою них можна реалізувати себе","Так"
"2022/09/13 10:46:11 дп GMT+3","31-40 років","Жіноча","Працюючий","Ні, ніколи","В середньому, ніколи не приймав/ла участь, але цікавився/лась.","Так","Профспілка","","Так","Ні","Так, декілька","Все одно не хочу","Байдуже","Байдуже"
"2022/09/13 10:48:36 дп GMT+3","16-23 років","Чоловіча","Студент","Так, інколи","В середньому, ніколи не приймав/ла участь, але цікавився/лась.","Ні","","Не мав/ла змоги","Ні","Так","Так, один","Рухи","Так, оскільки за допомогою них можна реалізувати себе","Так"
"2022/09/13 10:48:44 дп GMT+3","16-23 років","Жіноча","Студент","Так, інколи","Добре орієнтуюсь, приймав/ла участь та додатково вивчав/ла.","Так","Молодіжна організація","","Так","Ні","Так, декілька","Творчі об'єднання","Так, оскільки за допомогою них можна реалізувати себе","Так"
"2022/09/13 10:50:16 дп GMT+3","16-23 років","Жіноча","Студент","Так, інколи","В середньому, ніколи не приймав/ла участь, але цікавився/лась.","Ні","Молодіжна організація","","Ні","Ні","Так, декілька","Молодіжна організація","Так, оскільки вони покликані допомагати","Якщо це законно і відстоює благодійні справи"
"2022/09/13 10:52:56 дп GMT+3","16-23 років","Жіноча","Студент","Так, інколи","В середньому, ніколи не приймав/ла участь, але цікавився/лась.","Ні","","Не мав/ла змоги","Ні","Так","Так, декілька","Творчі об'єднання","Так, оскільки вони покликані допомагати","Якщо це законно і відстоює благодійні справи"
"2022/09/13 10:57:14 дп GMT+3","16-23 років","Жіноча","Студент","Так, часто","Добре орієнтуюсь, приймав/ла участь та додатково вивчав/ла.","Так","Молодіжна організація","","Ні","Ні","Так, декілька","Молодіжна організація","Так, оскільки вони покликані допомагати","Якщо це законно і відстоює благодійні справи"
"2022/09/13 10:57:30 дп GMT+3","16-23 років","Чоловіча","Студент","Так, інколи","Орієнтуюсь, приймав/ла участь в одній організації","Так","Громадські самодіяльні органи","","Ні","Так","Так, декілька","Громадські самодіяльні органи","Так, оскільки вони покликані допомагати","Так, за умови відсутності пропаганди діяльності цієї організації"
"2022/09/13 10:57:43 дп GMT+3","16-23 років","Жіноча","Студент","Так, інколи","В середньому, ніколи не приймав/ла участь, але цікавився/лась.","Так","Молодіжна організація","","Ні","Так","Ні, жодного","Молодіжна організація","Так, оскільки вони покликані допомагати","Якщо це законно і відстоює благодійні справи"
"2022/09/13 11:07:36 дп GMT+3","16-23 років","Жіноча","Студент","Так, інколи","Орієнтуюсь, приймав/ла участь в одній організації","Так","Творчі об'єднання","Не мав/ла змоги","Так","Так","Так, декілька","Громадські самодіяльні органи","Так, оскільки вони покликані допомагати","Якщо це законно і відстоює благодійні справи"
"2022/09/13 11:07:53 дп GMT+3","16-23 років","Жіноча","Студент","Так, інколи","Не сильно, щось чув/ла, але не цікавився/лася.","Ні","","Не мав/ла змоги","Ні","Ні","Так, один","Молодіжна організація","Так, оскільки вони покликані допомагати","Так, за умови відсутності пропаганди діяльності цієї організації"
"2022/09/13 11:08:10 дп GMT+3","16-23 років","Чоловіча","Студент","Ні, ніколи","Не сильно, щось чув/ла, але не цікавився/лася.","Ні","","Не мав/ла часу","Ні","Ні","Ні, жодного","Молодіжна організація","Так, оскільки вони покликані допомагати","Якщо це законно і відстоює благодійні справи"
"2022/09/13 11:09:29 дп GMT+3","16-23 років","Жіноча","Студент","Так, інколи","В середньому, ніколи не приймав/ла участь, але цікавився/лась.","Ні","","Не мав/ла часу","Ні","Так","Ні, жодного","Все одно не хочу","Байдуже","Байдуже"
"2022/09/13 11:37:26 дп GMT+3","16-23 років","Жіноча","Студент","Так, інколи","В середньому, ніколи не приймав/ла участь, але цікавився/лась.","Ні","","Потребує постійних особитих фінансових ресурсів","Ні","Так","Так, декілька","Молодіжна організація","Так, оскільки за допомогою них можна реалізувати себе","Якщо це законно і відстоює благодійні справи"
"2022/09/13 11:37:52 дп GMT+3","16-23 років","Жіноча","Студент","Так, інколи","Не сильно, щось чув/ла, але не цікавився/лася.","Ні","Творчі об'єднання","Не цікаво","Ні","Так","Ні, жодного","Все одно не хочу","Так, оскільки за допомогою них можна реалізувати себе","Так"
"2022/09/13 11:39:40 дп GMT+3","16-23 років","Жіноча","Студент","Так, інколи","Не сильно, щось чув/ла, але не цікавився/лася.","Ні","","Не мав/ла змоги","Ні","Так","Ні, жодного","Творчі об'єднання","Так, оскільки за допомогою них можна реалізувати себе","Якщо це законно і відстоює благодійні справи"
"2022/09/13 11:39:47 дп GMT+3","16-23 років","Жіноча","Студент","Так, інколи","Добре орієнтуюсь, приймав/ла участь та додатково вивчав/ла.","Так","Творчі об'єднання","","Ні","Так","Так, декілька","Молодіжна організація","Так, оскільки вони покликані допомагати","Так"
"2022/09/13 12:25:02 пп GMT+3","16-23 років","Жіноча","Студент","Ні, ніколи","Не сильно, щось чув/ла, але не цікавився/лася.","Ні","","","Ні","Ні","Так, один","Творчі об'єднання","Так, оскільки за допомогою них можна реалізувати себе","Дивлячись які"
"2022/09/13 2:07:22 пп GMT+3","16-23 років","Жіноча","Студент","Так, часто","Все знаю і розбираюсь, сам/а приймав/ла участь багато разів)","Так","Молодіжна організація","","Так","Так","Так, декілька","Творчі об'єднання","Так, оскільки вони покликані допомагати","Так"
"2022/09/13 2:43:55 пп GMT+3","16-23 років","Чоловіча","Студент","Так, інколи","В середньому, ніколи не приймав/ла участь, але цікавився/лась.","Ні","","Мене туди не запрошували","Ні","Так","Так, декілька","Рухи","Так, оскільки за допомогою них можна реалізувати себе","Якщо це законно і відстоює благодійні справи"
"2022/09/13 2:50:37 пп GMT+3","24-30 років","Чоловіча","Працюючий","Так, інколи","Добре орієнтуюсь, приймав/ла участь та додатково вивчав/ла.","Так","Молодіжна організація","","Ні","Так","Так, декілька","Молодіжна організація","Так, оскільки за допомогою них можна реалізувати себе","Так"
"2022/09/13 5:22:26 пп GMT+3","16-23 років","Жіноча","Студент","Ні, ніколи","Не сильно, щось чув/ла, але не цікавився/лася.","Ні","","Не цікаво","Ні","Ні","Ні, жодного","Все одно не хочу","Так, оскільки вони покликані допомагати","Якщо це законно і відстоює благодійні справи"
"2022/09/13 8:23:30 пп GMT+3","16-23 років","Чоловіча","Студент","Так, інколи","В середньому, ніколи не приймав/ла участь, але цікавився/лась.","Ні","","Мене туди не запрошували","Ні","Так","Так, один","Громадські самодіяльні органи","Так, оскільки вони покликані допомагати","Якщо це законно і відстоює благодійні справи"
"2022/09/13 8:39:21 пп GMT+3","16-23 років","Жіноча","Студент","Ні, ніколи","Не сильно, щось чув/ла, але не цікавився/лася.","Ні","","Не мав/ла змоги","Ні","Ні","Так, декілька","Молодіжна організація","Так, оскільки за допомогою них можна реалізувати себе","Можливо"
"2022/09/15 1:02:03 пп GMT+3","16-23 років","Жіноча","Студент","Так, інколи","Орієнтуюсь, приймав/ла участь в одній організації","Так","","","Ні","Так","Ні, жодного","Жіночі громадські об&#39;єднання","Так, оскільки за допомогою них можна реалізувати себе","Так, за умови відсутності пропаганди діяльності цієї організації"
"2022/09/15 1:03:15 пп GMT+3","16-23 років","Чоловіча","Студент","Ні, ніколи","Не сильно, щось чув/ла, але не цікавився/лася.","Ні","","Не цікаво","Ні","Ні","Ні, жодного","Все одно не хочу","Так, оскільки вони покликані допомагати","Так, за умови відсутності пропаганди діяльності цієї організації"
"2022/09/15 1:11:40 пп GMT+3","16-23 років","Жіноча","Працюючий","Так, інколи","Орієнтуюсь, приймав/ла участь в одній організації","Так","Громадські самодіяльні органи","","Так","Так","Так, один","Молодіжна організація","Так, оскільки вони покликані допомагати","Якщо це законно і відстоює благодійні справи"
"2022/09/15 1:14:16 пп GMT+3","16-23 років","Жіноча","Студент","Так, інколи","В середньому, ніколи не приймав/ла участь, але цікавився/лась.","Ні","","Не мав/ла змоги","Ні","Так","Ні, жодного","Молодіжна організація","Так, оскільки за допомогою них можна реалізувати себе","Дивлячись які"
"2022/09/15 1:55:09 пп GMT+3","16-23 років","Чоловіча","Студент","Ні, ніколи","Не сильно, щось чув/ла, але не цікавився/лася.","Ні","","Не цікаво","Ні","Ні","Ні, жодного","Все одно не хочу","Байдуже","Можливо"
"2022/09/15 1:59:18 пп GMT+3","16-23 років","Чоловіча","Студент","Так, інколи","Орієнтуюсь, приймав/ла участь в одній організації","Так","Молодіжна організація","","Так","Ні","Так, декілька","Молодіжна організація","Так, оскільки за допомогою них можна реалізувати себе","Так, за умови відсутності пропаганди діяльності цієї організації"
